GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
opensrp-web,org.opensrp.web.listener,ApplicationStartupListener,28,68,1,1,6,11,1,2,0,2
opensrp-web,org.opensrp.web.listener,DHIS2ConnectorListener,57,8,2,0,15,2,2,2,1,2
opensrp-web,org.opensrp.web.rest,ReportResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,ResponseUtil,41,0,2,0,11,0,4,0,3,0
opensrp-web,org.opensrp.web.rest,RestResource,24,7,0,0,6,2,4,2,4,2
opensrp-web,org.opensrp.web.rest,EventResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,EventResource,478,27,52,0,86,7,36,2,10,2
opensrp-web,org.opensrp.web.rest,EventResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,EventResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,EventResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,FormSubmissionResource,60,6,2,0,14,3,7,1,6,1
opensrp-web,org.opensrp.web.rest,RestUtils,156,62,22,4,30,9,19,5,8,3
opensrp-web,org.opensrp.web.rest,ExportResource,10,6,0,0,2,3,1,1,1,1
opensrp-web,org.opensrp.web.rest,StockResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,StockResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,StockResource.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
opensrp-web,org.opensrp.web.rest,ReportResource,81,24,4,0,16,6,3,2,1,2
opensrp-web,org.opensrp.web.rest,ClientResource,70,116,8,8,10,20,13,2,5,2
opensrp-web,org.opensrp.web.rest,SearchResource,832,17,172,0,178,6,98,2,12,2
opensrp-web,org.opensrp.web.rest,ProviderResource,134,43,10,4,30,12,13,2,6,2
opensrp-web,org.opensrp.web.rest,StockResource,370,24,14,0,75,6,16,2,9,2
